epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1385.51,2.10079,2.81031,1.89069,0.56601,0.42598,0.46704,0.19606,1.93736,1.9497,1.90666,0.000664609,0.000664609,0.000664609
2,2723.09,1.89284,1.93416,1.692,0.52745,0.43202,0.42274,0.17579,1.98884,1.9015,1.91069,0.00130492,0.00130492,0.00130492
3,4049.33,1.89936,1.85951,1.72467,0.59965,0.31223,0.36754,0.17255,1.94453,2.46479,1.8966,0.00191882,0.00191882,0.00191882
4,5386.95,1.85826,1.82563,1.70041,0.56885,0.51511,0.49873,0.22245,1.90035,1.7285,1.84771,0.0018812,0.0018812,0.0018812
5,6796.91,1.85957,1.75313,1.7041,0.45586,0.48338,0.47085,0.21581,1.92033,1.75876,1.83767,0.0018416,0.0018416,0.0018416
6,8159.53,1.80871,1.70247,1.65859,0.57899,0.48036,0.50178,0.23086,1.90778,1.69999,1.87589,0.001802,0.001802,0.001802
7,9491.08,1.82975,1.74347,1.68586,0.60459,0.52661,0.56836,0.25364,1.85489,1.66966,1.83614,0.0017624,0.0017624,0.0017624
8,10799.1,1.73843,1.64986,1.65403,0.64763,0.58302,0.61763,0.28912,1.84157,1.555,1.83437,0.0017228,0.0017228,0.0017228
9,12099.7,1.74928,1.64548,1.62708,0.64704,0.5423,0.59613,0.27906,1.85917,1.55651,1.84256,0.0016832,0.0016832,0.0016832
10,13488.9,1.74216,1.59278,1.62328,0.61294,0.55438,0.58305,0.2865,1.77791,1.55261,1.7717,0.0016436,0.0016436,0.0016436
11,14854.9,1.69723,1.54261,1.582,0.66219,0.57704,0.63089,0.30567,1.74254,1.47818,1.72764,0.001604,0.001604,0.001604
12,16250.2,1.70274,1.53682,1.60598,0.66832,0.56949,0.62057,0.29945,1.7486,1.54539,1.75212,0.0015644,0.0015644,0.0015644
13,17595,1.68284,1.51786,1.5797,0.65167,0.61027,0.621,0.29147,1.75635,1.5481,1.72431,0.0015248,0.0015248,0.0015248
14,18926.2,1.6684,1.4635,1.57156,0.67889,0.62387,0.64,0.31196,1.7843,1.44639,1.77871,0.0014852,0.0014852,0.0014852
15,20265.3,1.66204,1.45379,1.5647,0.7144,0.58912,0.66346,0.3312,1.73925,1.3966,1.72144,0.0014456,0.0014456,0.0014456
16,21600.1,1.64263,1.41035,1.54197,0.70412,0.54683,0.64502,0.31908,1.71645,1.41778,1.71499,0.001406,0.001406,0.001406
17,23000.3,1.63537,1.37662,1.55059,0.72477,0.5927,0.66119,0.33618,1.72849,1.35472,1.7196,0.0013664,0.0013664,0.0013664
18,24392.6,1.61126,1.35795,1.51976,0.72495,0.59063,0.6598,0.32174,1.76852,1.39229,1.7442,0.0013268,0.0013268,0.0013268
19,25740.5,1.61965,1.33579,1.52428,0.71612,0.5997,0.6826,0.34313,1.72421,1.38256,1.69216,0.0012872,0.0012872,0.0012872
20,27125.1,1.61631,1.3646,1.52122,0.73767,0.63595,0.70652,0.35448,1.73452,1.37152,1.71183,0.0012476,0.0012476,0.0012476
