epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,28523.4,1.60767,1.34568,1.51845,0.76363,0.54659,0.6813,0.33349,1.74417,1.37974,1.69908,0.001208,0.001208,0.001208
22,29932.7,1.59524,1.3283,1.51154,0.69775,0.62085,0.69753,0.36055,1.673,1.31665,1.69514,0.0011684,0.0011684,0.0011684
23,31330.7,1.57736,1.32605,1.50888,0.71412,0.5962,0.65339,0.32373,1.68667,1.33912,1.69195,0.0011288,0.0011288,0.0011288
24,32831.6,1.55256,1.30486,1.48717,0.75284,0.63035,0.72065,0.36827,1.67348,1.28288,1.6813,0.0010892,0.0010892,0.0010892
25,34225.8,1.52293,1.27668,1.46312,0.77599,0.63839,0.71165,0.37555,1.65739,1.26863,1.64832,0.0010496,0.0010496,0.0010496
26,35629.1,1.54958,1.27538,1.49491,0.76017,0.61765,0.69666,0.34811,1.73322,1.32621,1.7359,0.00101,0.00101,0.00101
27,37030.6,1.53622,1.23764,1.47671,0.82653,0.61934,0.72568,0.37386,1.6601,1.23569,1.6658,0.0009704,0.0009704,0.0009704
28,38394,1.50173,1.20156,1.46781,0.75259,0.67069,0.7149,0.36207,1.66194,1.28435,1.67053,0.0009308,0.0009308,0.0009308
29,39742,1.51313,1.21517,1.47111,0.76396,0.6284,0.70405,0.3689,1.65463,1.24155,1.64959,0.0008912,0.0008912,0.0008912
30,41097.2,1.49409,1.20236,1.45966,0.75133,0.64502,0.71283,0.37151,1.67606,1.21404,1.6876,0.0008516,0.0008516,0.0008516
31,42409.2,1.47704,1.1549,1.42662,0.79733,0.65559,0.74908,0.38901,1.64586,1.1521,1.65494,0.000812,0.000812,0.000812
32,43719.6,1.47332,1.12961,1.42667,0.75214,0.67383,0.73447,0.37908,1.66384,1.18854,1.67455,0.0007724,0.0007724,0.0007724
33,45027,1.44221,1.12908,1.40644,0.78921,0.65041,0.73572,0.38875,1.64704,1.18408,1.65534,0.0007328,0.0007328,0.0007328
34,46325.4,1.46973,1.12008,1.42162,0.78257,0.66875,0.74005,0.38914,1.65519,1.17383,1.67429,0.0006932,0.0006932,0.0006932
35,47629.9,1.47563,1.11972,1.44033,0.77,0.65106,0.72801,0.39046,1.60861,1.21585,1.63153,0.0006536,0.0006536,0.0006536
36,48954.6,1.42495,1.11302,1.41831,0.75673,0.65257,0.73605,0.39833,1.60342,1.18077,1.61606,0.000614,0.000614,0.000614
37,50290.6,1.41757,1.08494,1.39254,0.80095,0.65861,0.74334,0.40007,1.61216,1.15229,1.62487,0.0005744,0.0005744,0.0005744
38,51630.6,1.39906,1.04118,1.38809,0.78982,0.66465,0.75781,0.40317,1.6411,1.14409,1.64073,0.0005348,0.0005348,0.0005348
39,52982.2,1.41429,1.05677,1.40018,0.75093,0.68882,0.75031,0.41004,1.58743,1.1337,1.61004,0.0004952,0.0004952,0.0004952
40,54346.2,1.38852,1.03698,1.36683,0.77673,0.63587,0.74495,0.40049,1.59974,1.16663,1.61052,0.0004556,0.0004556,0.0004556
41,55689.2,1.38069,0.94028,1.38473,0.8175,0.65257,0.74856,0.4082,1.5933,1.13916,1.6025,0.000416,0.000416,0.000416
42,56992.9,1.34341,0.91999,1.36862,0.7897,0.67502,0.75695,0.41895,1.5673,1.10492,1.59039,0.0003764,0.0003764,0.0003764
43,58303.7,1.34061,0.88153,1.36902,0.80826,0.65587,0.76006,0.41669,1.60059,1.10301,1.61016,0.0003368,0.0003368,0.0003368
44,59603.2,1.33852,0.86777,1.34316,0.78048,0.6994,0.77258,0.43257,1.56965,1.09847,1.58375,0.0002972,0.0002972,0.0002972
45,60909.5,1.32337,0.84854,1.34632,0.75118,0.71142,0.77704,0.4363,1.55192,1.06093,1.58795,0.0002576,0.0002576,0.0002576
46,62214.6,1.29897,0.8409,1.33738,0.7478,0.70767,0.77112,0.42944,1.55799,1.08895,1.5921,0.000218,0.000218,0.000218
47,63532,1.29365,0.82015,1.33419,0.79396,0.6994,0.7714,0.43316,1.56945,1.07197,1.59551,0.0001784,0.0001784,0.0001784
48,64865.8,1.29123,0.83469,1.32798,0.78126,0.70676,0.77953,0.42998,1.56809,1.07786,1.59321,0.0001388,0.0001388,0.0001388
49,66211.2,1.27048,0.80529,1.31637,0.7869,0.70846,0.77711,0.43631,1.55306,1.06017,1.58091,9.92e-05,9.92e-05,9.92e-05
50,67574.6,1.27318,0.78662,1.31564,0.82129,0.68032,0.77846,0.43831,1.55643,1.06622,1.58376,5.96e-05,5.96e-05,5.96e-05
